review_date,parent_asin,main_category,store,rating,sentiment_score,bert_label,bert_score,helpful_vote,verified_purchase
2023-02-17 02:39:41.238,B07CJYMRWM,Cell Phones & Accessories,Edifier,5.0,0.9062,POSITIVE,0.993372917175293,0,True
2018-11-04 18:40:31.659,B09S6Y5BRG,All Electronics,Otium,5.0,0.9886,POSITIVE,0.9996769428253174,9,True
2018-07-02 18:36:56.080,B00IXNUDG2,"Arts, Crafts & Sewing",bux1 picture matting,5.0,0.6249,POSITIVE,0.998570203781128,0,True
2016-04-22 13:19:42.000,B00X5C22SS,All Electronics,Sony,5.0,0.8074,POSITIVE,0.999778926372528,0,True
2015-04-06 13:17:55.000,B0BKQZGST4,Cell Phones & Accessories,OtterBox,5.0,0.7964,POSITIVE,0.964463233947754,0,True
2017-02-05 18:47:59.000,B01LQF8B7G,Cell Phones & Accessories,,5.0,0.8519,POSITIVE,0.9998828172683716,0,True
2017-10-31 23:07:42.120,B075X8471B,Amazon Devices,Amazon,4.0,0.8743,POSITIVE,0.9998663663864136,0,True
2020-08-18 01:31:51.689,B0199HAOAU,Home Audio & Theater,Amazon Basics,5.0,0.6588,POSITIVE,0.9923932552337646,0,True
2020-01-09 18:16:38.362,B0093162RM,Amazon Home,PHILIPS,5.0,0.9608,POSITIVE,0.9998194575309752,0,True
2018-12-07 16:27:24.036,B07FCZY1ZB,All Electronics,Mxcudu,5.0,0.6249,POSITIVE,0.9997513890266418,0,True
2017-01-02 03:24:55.000,B08P3VMW76,Camera & Photo,USA Gear,5.0,0.8575,POSITIVE,0.9779132008552552,0,True
2017-01-15 12:00:15.000,B0862W5BQ8,All Electronics,DATA COMM,4.0,0.7893,NEGATIVE,0.999007284641266,0,False
2021-12-06 23:16:41.151,B0BNX9QVXZ,Computers,Lepow,5.0,0.9088,POSITIVE,0.9911967515945436,0,True
2020-10-02 17:38:32.073,B08X4R1T16,Amazon Home,Yocice,5.0,0.7777,POSITIVE,0.9998399019241332,0,True
2016-06-01 14:39:40.000,B00V3KLZSW,All Electronics,iGotTech,5.0,0.807,POSITIVE,0.9975317716598512,0,True
2015-03-29 01:24:37.000,B001FWYGJS,Computers,TP-Link,4.0,-0.1779,NEGATIVE,0.999165415763855,0,True
